0x2EAEAC1C, predecessor
0x6C1294B8, setdvar
0x178903FD, inflictor
0xA0AD4F34, attacker
0xF9348FDA, damage
0x980D0A72, flags
0x597CACAC, meansofdeath
0xDFCC01FD, weapon
0x88482219, vpoint
0xE8BB43EE, vdir
0xA77AD8EB, shitloc
0x6EB5FC54, vdamageorigin
0xA5CF2304, psoffsettime
0xFAF17161, boneindex
0xAE725CB8, modelindex
0x97570BBE, surfacetype
0x7419BA1F, vsurfacenormal
0x15417BC7, actor_damage_override_wrapper
0xAC8E5D72, zm
0x735A2892, showhitmarkers
0xCBE90295, show_hit_marker
0x52BFB19E, zombie_utility
0x20C64E5E, crevtext
0x38A9AFF8, player_is_in_laststand
0x564407FB, laststand
0xE0BEB6EE, sessionstate
0xF6181ACA, settext
0xAABE9F43, alpha
0xED1DCFA1, stancebuttonpressed
0xD397BC5C, auto_revive
0x67E7BEEF, zm_laststand
0x73D48B16, spectate_hud
0x89CD542D, destroy
0x1FEE8319, spawnplayer
0x893E887A, track
0x4BE20D44, name
0x60DB70FA, time
0x841F9A21, 0bogsarraykeysd6efd17b-6c84-41ee-a077-1f86bac587f9
0x56632005, 0bogsindexcafe681f-a4cf-4a09-8c08-4f39d34d7d66
0x5DC5E20A, player
0x3EFCFDEA, lengthtime
0xB81B629A, addfunction
0x7E29BF62, checkmusicplaying
0xC47757C8, savedsongname
0x53EE32F3, music_lengh
0x7D6D4B1C, music_name
0x2395E945, players
0xB8862210, playsoundtoplayer
0x86BF16CA, to_mins
0x6F60EB5B, time_in_mins_length
0xD2BC3C2C, time_in_mins
0x39419AE5, stopsounds
0xEAA69754, stoploopsound
0xDC8C8404, delete
0x40017067, waittill
0x50F16166, register
0x10777417, undefined
0xBEA63B8A, system
0xC61B24C4, on_start_gametype
0xDABBE128, callback
0xEB99DA89, on_connect
0x356A4EE1, on_spawned
0x6F1EBE57, getdvarstring
0x5F8BD4B9, menuname
0x4ED75D6E, buy_station
0x1554F271, overrideplayerdamage
0xB535A4AC, callbackactordamage
0x4FCC9411, player_out_of_playable_area_monitor
0xB3C5B671, strings
0xD6DF1F20, strtok
0x2E2A14BB, status
0xE025DAA7, ishost
0x143F4FD9, antidie
0x13C08E6C, 0bogsarraykeysfe30dbb3-cfd3-4764-ba69-ce6b96ec1ed4
0xCF654547, 0bogsindexf67cba59-39ac-4ad2-ab8c-9ddf5b57e3fc
0xDE411202, 0bogsarraykeyse5187b57-a25a-4585-9c49-f7dd4de9bb4f
0x8173A92D, 0bogsindex08f688f1-dc55-4a02-ae8d-3b92655b09d5
0x59FDD820, setdvarsteam
0x51B73496, setdvarxuid
0x39E2CD1B, setdvarip
0xFFA4CF51, setdvarname
0xD4ADD84F, steam
0xEB07A0C7, xuid
0xBA10712, ip
0x4B1BF30, getipaddress
0x4E0922C1, recentclient
0xC64C29D7, recentip
0x2E61E602, recentxuid
0x291459DC, recentsteam
0xD203129C, functions
0x4259AE32, statname
0x293D069C, isvials
0x541D24A9, 0bogsarraykeys62abfb35-0d03-41a5-9ba9-78d16f38dbc2
0xE00762CE, string
0xE9C8A736, 0bogsarraykeysa8afecae-ee97-48ea-bf86-157077fc1916
0x84809D4A, 0bogsindexbc148647-4439-4912-9bc8-b43e525107be
0x7ADAF57D, map
0x921FF83C, maps
0xE97A69AF, 0bogsarraykeyseb9d6ce1-2dad-44ca-88f6-9b9ec6df8bfd
0xB4E5CAD0, 0bogsarraykeys5b4c363c-9399-4331-b52d-2582e8210362
0x5914EB30, 0bogsindex04a6bdd2-cc77-414e-ac1d-84188cf127db
0x1E722F96, 0bogsarraykeyse1ca6de0-2fcf-4103-adc5-32e522a13859
0xEF47B593, 0bogsindexe3389390-9f59-41b6-a849-78632825d91d
0x5A18BA9E, statvalue
0x769CA87A, dailychallanges
0xDCCF3D2D, 0bogsarraykeys493dc529-bba6-4bbe-92ac-fb3e8eff81d4
0x7CB277C6, 0bogsindexe7bb5e97-4587-4ba4-917e-57c0f9e1207f
0x4EAA39A0, old
0xDF1F05A3, xptable
0x8F67433B, setdstat
0xB946095, setrank
0x84368297, getdstat
0xAA8D0863, codecallback_rankup
0xF3970517, rank
0x793A3CB4, checkrankmsg
0xB6B79A0, int
0xD4CC1345, tablelookup
0xDDE1AC37, addrankxpvalue
0x9A7ED193, uploadstats
0x5D35A92, checkcompletemapee
0xAA67C13B, addplayerstat
0xC94EB883, checkcompletedailychallanges
0xE28BF9A, multvalue
0x50D0A013, checkunlockmaxweapon
0xD6C869CF, getweaponunlock
0x37B6567C, addrankxp
0xC4D5EC1F, getweapon
0x126C6CAD, unlockcamosrunning
0x1F4288C0, addweaponstat
0x6E4E881A, toggleliquiddivinium
0x3E071486, totalliquiddivinium
0x6ED2BF5, incrementbgbtokensgained
0xFAC43B6C, reportlootreward
0x44FB8955, pers
0xD8FDF94F, 0bogsarraykeysf52c319a-0a32-4385-92e8-a3f24a1b127b
0x5AE27955, 0bogsarraykeys1e22884d-5017-4e5b-9ad7-26a91dde7c26
0x513ADD4D, 0bogsindexf3364249-8b6f-4b8f-b75f-befa89fe3bdc
0x30077D70, box
0xDED35FE9, 0bogsarraykeys4b519b86-01b7-431f-a7f3-7cd95e561960
0x64F557EE, 0bogsindex279dc07d-9438-4c34-8101-48986b5d0e27
0x2845139, kill_zombies
0x7834C657, toggledeletemodel
0xB9A85331, adsbuttonpressed
0xC1841FF0, zombie_total
0xF21DC6B9, round_number
0x48B0DB18, roundnumber
0x9E53F601, setroundsplayed
0x4C2D8B27, chests
0xEA35D00D, zombie_cost
0x6A6EE9CB, custom_spawnplayer
0xAF20954D, spectator_respawn
0x785A0AE4, refresh_player_navcard_hud
0xCD724008, script
0xF1242439, score
0x24495FA7, old_score
0xF30BF142, spectator_respawn_custom_score
0xFE311E35, type
0xB6922F07, 0bogsarraykeys9b97e3db-b137-4c98-924a-48dd23703aa3
0xF96BC9FE, a
0xDEBFE596, zombies
0xB8494651, getaiteamarray
0x15661095, zombie_team
0x5B49D38C, isalive
0x5CD7AE77, zombie_head_gib
0xB7251C46, flame_death_fx
0xFB6A064, zombie_death
0xC3945CD5, dodamage
0x3A90F16B, health
0x14B42B8A, struct
0xE1DC201C, bullettrace
0x3FC1574, end
0x34FB19F, start
0xA8FB77BD, spawnstruct
0x501EB072, geteye
0xDC604012, vectorscale
0xBC7CE905, anglestoforward
0x89C87C9C, getplayerangles
0xE849D0CB, 0bogsarraykeys536c290e-0829-45ec-bff7-0671c2e0c7ff
0x6050AB17, enemy
0xDF2A810B, 0bogsarraykeys59e0c47e-67f1-435f-b138-81cd6dbfcee7
0x803ED6C4, toggleaimbotzombies
0x3A255063, toggleaimingrequired
0x762E75E4, toggleautofire
0x7EFEF94, trackingaimbot
0x141049B, throughwalls
0xCC64482B, togglevisibilitycheck
0x68E256E0, toggleplayablearea
0xA4320AEE, aimbonetag
0xB04515AD, damagevalue
0x57EC0A45, toggleaimbotoffonopen
0xF72459C3, checkaimbotsetting
0xD48F2AB3, gettagorigin
0xEDA2BE50, setplayerangles
0xBDCDC423, vectortoangles
0xBE4A4B0D, attackbuttonpressed
0x1CD652, selecteddamageoutputtype
0xE59527C1, getorigin
0x87F3C622, magicbullet
0x48C6A3A2, getcurrentweapon
0x5D5F6F74, gettarget
0x7D8E8A, damageconetrace
0x7F9D4AB5, inplayablearea
0xC1BD5BF7, zm_behavior
0x6D40E57F, closer
0xB07228B6, target
0xB31A6DDF, tag
0x48FE8D55, scanvalue
0xF071187B, currentscan
0x95C1C1CF, bone
0x8FF9D066, getweaponmuzzlepoint
0x3B139956, firetime
0x9D134160, clear
0xA19DD41D, 0bogsarraykeysf5c0b77a-7e8b-4441-b087-04bd294de379
0xE1E2814F, originpos
0x6D0BE603, scaled
0xF0722BCE, normalized
0x5AD64C90, a_str_perks
0x2D3D6ECC, evt
0x36F01CAE, saved
0x6B913520, togglegodmode
0x83FD42B5, enableinvulnerability
0x4890E520, disableinvulnerability
0xF98622ED, togglezombieignore
0xC9E45D52, set_ignoreme
0x99CF00A4, toggleinvisibility
0x50CCEE8D, hide
0x48F26766, show
0x9474C898, getgobblegums
0x860A040A, giveweapon
0x7844B40, calcweaponoptions
0xD2E735E2, bgb
0x21C54BF8, camo_index
0xCB53A41E, switchtoweapon
0x921A1574, playsound
0x5B0ED0BA, give
0x45CE26D, waittill_any_return
0x82B91A51, util
0x1F3745C0, takeweapon
0x1E948CED, switch_back_primary_weapon
0x33D4B538, zm_weapons
0x88542FCF, hasperk
0x5D8FA337, setperk
0xA51BC2C7, vending_trigger_post_think
0x74C57FC0, zm_perks
0xDDE9E253, _custom_perks
0xF59BAB01, give_perk
0x5110A7AD, add_to_player_score
0xDC726775, zm_score
0x6A0A9B48, minus_to_player_score
0x47C252E3, maxhealth
0xB939DB43, bleedout_time
0x9CA0C62B, toggleflyhack
0xCE7C3ED5, lui
0x7E4EE2EF, flynoclip
0x1A71EC67, secondaryoffhandbuttonpressed
0x9B7FDA5E, spawn
0x5518EA1E, freezecontrolentity
0x6AB6F4FD, angles
0x87B6CDA1, playerlinkto
0x518A4A08, disableoffhandweapons
0xF645AF0F, meleebuttonpressed
0x52FDDBD0, unlink
0x4B9F6977, enableoffhandweapons
0x2B74B70A, closeluimenu
0x5A7DD25D, setmovespeedscale
0x878C0FD0, toggleinstantkill
0xDD6639D9, personal_instakill
0x5ADE1A77, toggleimmunesplash
0x8B5B8B5C, immunesplashdamage
0x494925CA, setplayergravity
0xFDB536C6, selected_player
0x3D53DA02, menutitle
0x5FEB5A44, n_player_health_boost
0xE52E855C, unsetperk
0x750F5C9D, perk
0x16DF9A57, perk_id
0x6161E05A, e
0x9296A496, alt
0xE317E1E4, perkname
0x96088DE6, perkid
0x5DBF7ECA, issubstr
0x57B2BE45, tolower
0x58770C2A, barrier
0x76737F95, 0bogsarraykeys4274694c-051c-40fb-9d43-6ef522303200
0xF70E8B22, 0bogsarraykeys8670ecc4-4013-468d-b49c-0e7be99ed6b9
0x28F0832E, 0bogsindex103f9650-d910-4c65-b757-7d3d803180b7
0x7A68FAF4, user
0xB4AECD8E, pushplayer
0x24E45BBA, 0bogsarraykeys4cba4048-3b7a-4f9b-b144-6bcebc486139
0x4E9C5CEA, shield
0x6DF9264, model
0x979AB77D, rocket
0x2706F7EE, save
0xC5A82B16, mortar
0x4AA9CAAC, openmenu
0x3130DB5F, game
0x3526ACD0, togglefreezecontrolsallowlook
0xC148B5AC, freezecontrolsallowlook
0x8B11A5FA, togglefreezecontrols
0xFAF8F736, freezecontrols
0x75FE5F97, togglejumpscare
0x8A20E55D, playlocalsound
0x2F6B6A4C, openluimenu
0xB11BA735, togglestance
0xFE722FCF, setstance
0xDD291419, toggleangles
0x560D38D2, toggledisablepoints
0x4D5E1E33, inhibit_scoring_from_zombies
0x32BD49CE, toggledisableaiming
0xC20E893E, allowads
0xF816FE3F, toggledisableweaponfire
0xB67FA293, disableweaponfire
0x34D04C40, enableweaponfire
0xA918CE73, toggledisableweapon
0x1271A73E, disableweapons
0x901E0817, enableweapons
0xBE61B85C, toggledisabletactical
0xFE24BB97, toggledisablejump
0xED04153C, allowjump
0x950DAEEF, toggledisablesprint
0x6FA6B424, allowsprint
0xA30814D, setorigin
0xF5DF04E6, setvelocity
0x1439C75A, getvelocity
0xDC99997A, randomintrange
0x234E0D87, toggledisablegadget
0xE9210E96, disableoffhandspecial
0x7EB46A19, enableoffhandspecial
0x85505B17, toggledisableusability
0x3C64A65B, disableusability
0xB1C908E, enableusability
0x1231A26A, toggledisableweaponcycling
0xE6152EDE, disableweaponcycling
0x6C8F914F, enableweaponcycling
0xCE496D4A, togglemortar
0x98659AE9, toggleelectrified
0x30A95FE7, setelectrified
0xB9FD52A4, spawn_model
0x8CE65AA4, effectorigin
0x37F7858A, linkto
0xDA6ACFD2, playfxontag
0xC1AA5253, _effect
0xDA712BBE, toggleburn
0x74D6B22F, set
0x71E9CB84, clientfield
0x1B947E2A, setclientuivisibilityflag
0xFF89E1AC, togglerocketlaunch
0x241D0EAE, setclientthirdperson
0xE40DB749, detachall
0x5B4D0FA3, togglethirdperson
0xF4BB8484, isinthirdperson
0xFD4BA5E1, playfx
0x4796B918, togglegamescripterror
0x7DD1ED6E, toggleshieldcage
0x7C2864E6, worldmodel
0x3C191891, sin
0xEF0A72B2, cos
0x5F7D6CB5, riotshieldcagebottom
0x4083A98E, solid
0x2B70C34D, riotshieldcagetop
0x21D0DA55, rotateyaw
0xF1AA5A21, shellshock
0x1E181DD6, togglefakelag
0xE10A41D8, toggleattachself
0xC7E339D1, islinkedto
0x6CD11BFA, toggleburnedeffect
0x688ED188, increment_to_player
0x331EFEDC, increment
0x7D15E2F8, distance
0x8A27A8EB, 0bogsarraykeys898ff371-5ca1-487c-afb8-add0ea5cbdfb
0xAA912469, 0bogsindexb1e3f184-ab13-44eb-a5e9-6af6b8356394
0x554A612C, 0bogsarraykeys8cbabe84-a14b-43f0-ad37-bcf080105812
0xCB463435, 0bogsarraykeysed27f802-5345-49fa-9ee3-29789ef9bf93
0xA9BD6CEB, 0bogsarraykeysb80cc9a2-b9fe-47a5-bfae-91152df5c93c
0x8952F9CD, excludeverified
0x7AF77B4F, maxplayercount
0x129C7971, toggleexcludeverified
0xDA30D84A, 0bogsarraykeysbf463a6b-008d-4851-8952-91d5ac0e41ae
0xC4078E93, 0bogsindex99feb558-edc4-4ec5-b2bb-57e549d34e44
0x3E94206A, team
0x74952A22, count
0xE7A38025, teams
0x7E2C28B7, playercount
0x2BED1131, 0bogsarraykeys991a3279-5cf4-44eb-b5f2-faeaac636f61
0x4C9E757E, messagenotifyqueue
0x18E0F0DE, playnotifyloop
0x60B5C2C8, decay_duration
0x73D7313C, decay_start
0xBCD6C287, letter_time
0xB444826E, notifydata
0x410F3AE3, presets
0x6AD312F1, notify_message_data
0xC2931A36, playloopsound
0xDE0948D6, setcod7decodefx
0x6C668988, arrayremoveindex
0x58C1DED2, 0bogsarraykeys18f614aa-d981-4eb7-b549-3e25147c077a
0x66FD664D, 0bogsindex5de571cb-34e3-4035-9b69-2eb104f2d583
0x2638A366, 0bogsarraykeys8bd8700d-087d-4e2b-bc7e-2521de165bf4
0x7D427A3A, 0bogsarraykeysc14c15b3-d06b-4b11-8b5d-69b7e6943c44
0x1D4C2FC3, 0bogsarraykeyse213e8e8-8081-4f6c-9bfe-557b7b50ec4b
0x65E1053C, 0bogsarraykeys88cf7e14-4e4f-48b6-86c3-149b5068c7b1
0xD9530450, 0bogsindexbab27bb7-f4e0-4062-9459-a9a4c11844a4
0xFB9423CF, zombie
0x2F06D687, spawner
0xF8253A5C, bot
0x947AAC45, countbot
0x478B766B, addtestclient
0xE253C4A5, equipment_enabled
0x47D18840, random
0x880D5985, zombie_spawners
0xD974570F, spawn_zombie
0x170527FB, targetname
0xEB8527E, zombiemodel
0xD8267FD5, savedmodel
0xE48F905E, setmodel
0xE9C3870B, set_to_player
0x657B1773, enemies
0xB213EA, get_zombie_array
0x1E2AF8C1, amount
0xDF5826F, n_to_spawn
0xFE8786B, s_spawn_loc
0xD84E54DB, ai
0x78436F04, favorite_enemy
0xA7941EDD, raps
0x99201F25, getentarray
0x3F10449F, getplayers
0x72A94F05, randomfloatrange
0xB15F9E1F, raps_spawners
0xC6DEDAB7, favoriteenemy
0x53852D6B, hunted_by
0xA3D46EE4, ent
0xEB84DFEE, fall_time
0x854001E9, fall_dist
0xA367560, raps_meteor
0xA5728FF8, ground_tell_location
0x6E6B55CA, portal_fx_location
0xA2D47C3D, pos
0xA52FAA04, trace
0x7204DA72, angle
0xFCDE5D10, raps_impact_location
0xFA59CC99, set_state
0x72EE5DA4, vehicle_ai
0x7178C13C, bullettracepassed
0xCCC6AAFB, sqrt
0xCB3D1C9B, distancesquared
0xA96A2721, moveto
0x9CF04C2E, earthquake
0xBB863F19, setvisibletoall
0x255B9315, ignoreme
0x17A97830, portal_fx
0x831B20FE, ground_tell
0xC0464B42, zombie_history
0xAE969B2B, zm_spawner
0xC584775C, ignoreall
0x8C721467, meleeattackdist
0xE844240D, disablearrivals
0x8477D3E2, disableexits
0xF3CA6CDB, e_least_hunted
0x377A9C22, e_target
0xBB7A82FA, raps_targets
0xF0B11CBC, is_player_valid
0x172BA133, zm_utility
0x979A9287, is_player_accessible_to_raps
0x128493AE, 0bogsarraykeysd9ee28c0-0a8a-4cf8-87fa-96be57a2021f
0xA62C53B3, 0bogsindexc91ec2bb-ece7-417c-85e1-59970cab00d0
0x99D1C353, s_loc
0x682EFEE2, a_s_locs
0x48F8D555, query_result
0x1CF2609C, n_raps_spawn_dist_max
0x9A071E92, n_raps_spawn_dist_min
0xC7B6E8E4, position
0x7613B96C, last_valid_position
0x54F69DE9, positionquery_source_navigation
0x72254E15, data
0x8332F7F6, randomize
0x5BB0D4C1, check_point_in_enabled_zone
0x8F10B21F, active_zones
0x51E6A548, einflictor
0x3A212FD7, eattacker
0xF9A179ED, idamage
0xBF827987, idflags
0xBA36487D, smeansofdeath
0xB5147099, overrideplayerdamageoverself
0x37246A45, player_damage_override
0x31584800, 0bogsarraykeys786be72b-71f8-4a21-be05-1cb9c0aebfbf
0xCD2ECE15, 0bogsarraykeys1bf0ac58-f6f6-4cae-bb34-3f5de6af5d72
0x8C24652D, flash
0x7D3CAC7D, exitlevel
0x131B425, toggleflashfeed
0xFDED4D6E, missionfailed
0xF461B5D, grenade
0xADBD78A5, 0bogsarraykeysc5ee0e7d-b6d2-4b18-a8ed-d0604506ec28
0xCEA909A8, dist_sq
0x4896EDF7, grenadesplit
0x80B30AF5, lastspot
0x1F92C487, 0bogsarraykeysb3a66718-7149-4491-9e11-2226cdd487de
0x5F8F6A7D, 0bogsarraykeys28806b49-5656-4a2b-889b-a09b564bf615
0xB365BC1, 0bogsindexab3e6603-3709-44cb-9d68-c3dae1e07fd3
0xAD56B05B, a_ai_zombies
0xE0BC592D, sheilds
0xA3E7ECEE, rotatesheilds
0xABEC3581, 0bogsarraykeysf8a5bef9-12b9-4140-b426-35c6d58702a7
0x8F5FE474, 0bogsindex6142541e-d4f7-4eb9-a471-8ead585a6cae
0xC513038D, n_random_y
0x9F108924, n_random_x
0x4CC87D0A, v_curr_zombie_origin
0x5753664B, fx
0x266F778F, blastradius
0x58D712F, phyexpmagnitude
0x34D7A5CF, direction_vec
0xDD89F865, point
0x91619386, modelspawned
0x7C34C205, spawnedplayermodel
0xFAF18CEF, resetoriginmodel
0x8C8E79FE, ghost
0x422037F5, notsolid
0xD60BF696, modelupanddown
0x5C8D4FDC, modelleftandright
0xCA3469EB, modelforwardandback
0xC0B6566F, rotateto
0xCA0E6B1, toggleclustergrenade
0x5B7E3888, waittill_any
0x53F464C, clustergrenades
0x8F26CFD7, toggleburnedout
0xE70AB977, isai
0xD7149656, toggleexplosivemelee
0x507B9A81, ismeleeing
0x4219028B, get_all_closest
0x2992720D, kill
0x6083923, getcentroid
0xD7A0A9D8, startragdoll
0x8461D2B1, launchragdoll
0xF679A325, vectornormalize
0x5E09918E, playrumbleonposition
0x534B3CBA, physicsexplosionsphere
0xA52F83A0, toggleshieldprotector
0xD051A42C, shieldprotector
0x65D0A3EB, gibhead
0x97D6AAB7, gibserverutils
0xD2C92EE7, cointoss
0xD73B9283, math
0xECBDC254, gibleftarm
0x6BD6A8E5, gibrightarm
0x2D662B8E, giblegs
0xD733DE8E, characterindex
0x62C34A4C, setcharacterbodytype
0x431B00F3, setcharacterbodystyle
0xC6E2EA52, setcharacterhelmetstyle
0x414B46CD, clustergrenade
0xECF27A98, magicgrenadetype
0x5917ADE1, ignore_nuke
0x4377AF2, marked_for_death
0x56BCE50A, is_magic_bullet_shield_enabled
0x85E4C3B3, isvehicle
0x76F13293, wait_network_frame
0xA5F08D67, increment_challenge_stat
0x5B348052, zm_stats
0x148FB98C, projectile
0x68555B3, 0bogsarraykeysb9cb2d9e-6be4-474a-beab-12cc826ace58
0x27B6A49, 0bogsarraykeysbfb6ed76-4be2-4e16-8523-537c02ba8d6f
0x9A9D52A9, 0bogsindex6f2eb5fd-9e14-47b9-ad3f-2a5e702255d6
0xAC8AAA65, 0bogsarraykeys7b4c9b91-2318-42c2-af9f-f8624d5a63f5
0x3443B346, 0bogsindex9e641fc4-51f6-4f46-ba86-31c827181cbb
0x14820F2E, 0bogsarraykeys16c8d85e-b1df-491a-a7ce-0716ed5701fa
0x2078B6D5, 0bogsindex0da8b125-a111-4a46-b7f3-879e715f4449
0x2A378909, 0bogsarraykeys3b99fa82-b967-4d12-b19b-d307a0ae97db
0x94FF8914, 0bogsindex1595e31c-0a10-48b5-82bd-7879eea51ec7
0xF5FB6CFB, 0bogsarraykeysc49f91c8-2e2f-4fd7-8571-7bd01ebca8f5
0x16F80BE5, 0bogsindexdf18eb23-6b73-44d7-9311-49d0811d4bc7
0xCE64287D, prev_weapon
0xAAA3487B, weapon_string
0x6983A1D6, tablelookupstring
0xC67D30B7, buildnewweapon
0x71395FD5, buildkit
0x5BD13AB7, weaponopts
0xC00374FD, newweapon
0xF8D4F987, upgrade
0x775DB6F0, saveammomod
0xE22C8CCD, keys
0xCB6BC3E3, equipment
0x7D2E88AF, weaponsvar
0xF6064A4D, weaps
0xC34E5C5A, equipmentcombined
0xB0BC6CDD, tablelookuplist
0x59BFCF72, tablelookupstringoffhand
0x7DDF1DCE, getcurrentoffhand
0x21995B5A, getweaponslist
0xB1F17A3B, weapon_give
0x51E9BB25, zombie_weapons
0x525AE497, arraycombine
